outcome,h-strk,h-pspg,h-papg,h-10w,h-rnk,h-5w,h-lw,h-w,v-strk,v-pspg,v-papg,v-10w,v-rnk,v-5w,v-lw,v-w,h+,h,t,v,v+
-1,3,4.9,4.1,0.5,3,0.6,0.7142857142857143,0.568,-6,3.6,4.7,0.2,5,0.0,0.2857142857142857,0.389
1,1,6.1,4.6,0.6,1,0.4,0.625,0.647,-2,4.8,4.9,0.2,3,0.2,0.3125,0.406
-1,-4,4.5,5.0,0.2,4,0.2,0.3333333333333333,0.382,1,4.5,5.4,0.2,5,0.2,0.3684210526315789,0.375
1,1,5.0,4.6,0.6,3,0.8,0.47619047619047616,0.528,-2,5.0,5.3,0.6,2,0.4,0.5714285714285714,0.471
1,-6,4.0,4.0,0.2,4,0.0,0.42857142857142855,0.455,1,3.6,5.2,0.3,4,0.4,0.3333333333333333,0.378
1,-1,4.6,4.2,0.7,1,0.8,0.5,0.559,1,4.8,4.6,0.5,4,0.4,0.5789473684210527,0.514
-1,-2,4.2,3.9,0.4,2,0.4,0.46153846153846156,0.529,3,4.6,4.7,0.7,1,0.6,0.7142857142857143,0.562
1,-1,4.5,4.1,0.5,3,0.4,0.5789473684210527,0.514,1,4.4,4.2,0.4,4,0.4,0.375,0.474
1,2,3.0,4.1,0.6,5,0.8,0.5,0.4,-2,4.4,4.1,0.6,1,0.6,0.5,0.647
-1,-2,5.7,4.0,0.6,2,0.6,0.75,0.656,4,4.8,3.6,0.8,1,0.8,0.6666666666666666,0.686
-1,-3,4.5,4.9,0.2,4,0.2,0.35714285714285715,0.394,-6,4.4,5.5,0.2,5,0.0,0.3333333333333333,0.355
1,2,3.9,4.5,0.6,5,0.8,0.4375,0.4,-1,5.1,4.8,0.6,2,0.8,0.35,0.486
-1,1,4.5,4.1,0.5,3,0.6,0.6111111111111112,0.529,-1,4.4,4.2,0.4,4,0.2,0.3333333333333333,0.459
-1,-1,4.3,4.0,0.5,2,0.6,0.5,0.545,2,4.7,4.8,0.7,1,0.6,0.6923076923076923,0.548
-1,6,4.6,4.2,0.7,1,1.0,0.5294117647058824,0.576,-1,4.9,4.6,0.4,4,0.2,0.5555555555555556,0.5
1,-1,5.0,4.6,0.6,3,0.6,0.45,0.514,-1,5.1,5.3,0.6,2,0.6,0.6153846153846154,0.485
1,3,4.5,4.4,0.5,5,0.6,0.5555555555555556,0.444,1,3.8,4.9,0.5,3,0.8,0.3333333333333333,0.471
-1,-5,4.0,3.9,0.2,4,0.0,0.46153846153846156,0.469,-3,3.5,5.2,0.3,4,0.2,0.3,0.361
-1,2,4.9,4.6,0.7,1,0.8,0.6,0.639,-1,5.0,3.6,0.7,2,0.8,0.4375,0.571
1,1,3.2,5.1,0.3,5,0.4,0.4375,0.351,-1,5.1,4.5,0.7,2,0.6,0.5384615384615384,0.543
1,2,4.8,4.1,0.5,3,0.4,0.7,0.556,-5,3.5,4.5,0.3,5,0.0,0.3,0.4
-1,1,3.8,4.3,0.3,2,0.4,0.6111111111111112,0.474,-1,4.9,5.1,0.5,3,0.4,0.4444444444444444,0.5
1,4,4.5,4.3,0.6,4,0.8,0.5789473684210527,0.459,-1,3.7,4.9,0.5,5,0.6,0.3125,0.457
1,-1,3.2,5.2,0.3,5,0.2,0.4,0.333,2,5.1,4.6,0.8,2,0.8,0.5833333333333334,0.559
-1,-1,4.8,4.6,0.7,1,0.6,0.5714285714285714,0.622,1,5.0,3.5,0.7,2,0.8,0.47058823529411764,0.583
1,2,5.0,4.7,0.5,3,0.6,0.4444444444444444,0.515,-1,4.5,4.1,0.5,3,0.4,0.42857142857142855,0.531
1,2,4.9,3.7,0.7,1,0.6,0.6842105263157895,0.667,-5,4.4,5.5,0.3,5,0.0,0.35294117647058826,0.367
-1,-1,4.7,4.7,0.2,3,0.2,0.5333333333333333,0.419,3,5.0,4.7,0.6,3,0.8,0.3333333333333333,0.485
1,1,4.7,4.5,0.6,1,0.8,0.5789473684210527,0.629,5,4.9,3.4,0.8,2,1.0,0.4666666666666667,0.588
1,1,4.8,4.2,0.4,3,0.4,0.6842105263157895,0.543,-4,3.6,4.6,0.3,5,0.2,0.3157894736842105,0.412
-1,-4,4.0,3.8,0.3,4,0.2,0.5,0.484,1,4.7,4.8,0.6,2,0.4,0.6666666666666666,0.533
-1,-1,5.8,4.0,0.7,1,0.8,0.8,0.677,3,4.9,3.7,0.8,1,0.8,0.6428571428571429,0.676
1,1,3.8,4.6,0.6,5,0.6,0.4,0.382,4,5.2,4.7,0.6,2,0.8,0.3684210526315789,0.5
-1,2,5.1,5.2,0.7,2,0.8,0.42105263157894735,0.5,-5,3.2,5.2,0.2,5,0.0,0.25,0.324
1,4,4.9,3.4,0.8,2,0.8,0.6666666666666666,0.576,-3,3.7,4.6,0.3,5,0.4,0.3333333333333333,0.424
1,-3,4.8,4.3,0.3,3,0.2,0.6666666666666666,0.529,1,5.1,5.1,0.5,3,0.4,0.4666666666666667,0.516
1,-3,6.1,4.6,0.5,1,0.4,0.6,0.636,6,4.5,4.0,0.8,1,1.0,0.5625,0.688
1,-1,4.8,4.6,0.6,1,0.6,0.5555555555555556,0.618,1,5.0,4.7,0.4,3,0.2,0.5882352941176471,0.515
-1,1,3.3,5.2,0.3,5,0.2,0.42857142857142855,0.343,1,5.2,4.7,0.8,2,0.8,0.5454545454545454,0.545
1,1,4.5,4.5,0.3,5,0.4,0.5,0.412,-1,3.6,5.3,0.4,4,0.2,0.3333333333333333,0.382
